,0
0,Deniz
1,bir
2,dili
3,konuşmak
4,isterse
5,kesinlikle
6,hemen
7,öğrenir
8,.
9,Ayşe
10,otele
11,gitmek
12,istiyor
13,Bir
14,sıvacının
15,işini
16,herkesten
17,iyi
18,yaptığını
19,Gönül
20,düşünüyor
21,Ali
22,kitabın
23,sana
24,yardımcı
25,olacağını
26,Melahat
27,okuldan
28,mezun
29,olmak
30,Kerem
31,başka
32,manzaraya
33,bakmak
34,Pelin
35,uzman
36,doktor
37,görmek
38,tecrübeli
39,reklamcı
40,ile
41,çalışmak
42,seninki
43,gibi
44,öneride
45,bulunmak
46,ajanstakiler
47,Belma
48,vapur
49,yolculuğuna
50,yalnız
51,çıkmak
52,müşteriye
53,Mehmet
54,senin
55,yaptığın
56,sebze
57,yemeğinden
58,yemek
59,Ceylan
60,Başka
61,resmi
62,çizmek
63,Abidin
64,Müjdat
65,şirkette
66,Elif
67,kaza
68,geçirirse
69,büyük
70,ihtimalle
71,ona
72,kimse
73,ulaşamaz
74,ekmeğin
75,kaç
76,lira
77,olduğunu
78,Recep
79,uzun
80,zamandır
81,sorgulamamıştı
82,Seda
83,gelecekte
84,ev
85,satın
86,almasının
87,zorunlu
88,Süreyya
89,tekne
90,gezisine
91,katılması
92,gerektiğini
93,söylüyor
94,Bunun
95,konuda
96,Asude
97,Yağız
98,kendine
99,yeni
100,arkadaş
101,edinmek
102,Cenk
103,araba
104,alırsa
105,mutlu
106,kuyumcuya
107,hırsızın
108,girdiğini
109,mi
110,iddia
111,ediyor
112,?
113,Ev
114,arkadaşım
115,kediye
116,Gülsüm
117,deniz
118,gören
119,yazlık
120,almak
121,istiyormuş
122,şuradaki
123,istiyorum
124,fotoğrafı
125,bastırmak
126,Yiğit
127,Bener
128,buradaki
129,fotoğrafta
130,yer
131,Ona
132,olur
133,diye
134,kitap
135,okumasını
136,önerdim
137,Hakan
138,arkadaşına
139,uğramak
140,buğra'nınki
141,kitaptan
142,alıntı
143,yapmak
144,Batu
145,Filiz
146,kırmızı
147,Yorgun
148,şoför
149,yola
150,Kenan
151,Para
152,biriktirdikten
153,sonra
154,kardeşim
155,Akşam
156,için
157,pişirilen
158,kurabiyenin
159,derecede
160,pişirildiğini
161,Abraham
162,bilmiyordu
163,Annemler
164,tatilde
165,yat
166,kiralamak
167,restoranda
168,servis
169,edilen
170,tatlıdan
171,Süheyla
172,Leyla
173,konu
174,Her
175,katılımcı
176,masaya
177,oturmak
178,düşündü
179,Uygar
180,adamla
181,dövüşmek
182,bardak
183,kırmak
184,ister
185,Özlem
186,öğrencinin
187,bu
188,soruyu
189,çözebileceğini
190,Eda
191,sadece
192,yumurta
193,kahvaltı
194,yaparsa
195,acıkır
196,Okulu
197,bırakıp
198,işte
199,Oğuz
200,Selin
201,arkadaşını
202,davet
203,etmeyi
204,Şeyma
205,en
206,kısa
207,zamanda
208,kızıl
209,saçlı
210,kız
211,öpmek
212,Gaddar
213,adam
214,fidanlardan
215,birini
216,sökmeyi
217,arzuluyordu
218,Yaren
219,grupta
220,kişinin
221,ajan
222,Büşra
223,arkadaşının
224,ondan
225,hoşlandığını
226,düşünyor
227,yakın
228,Barış
229,yoğun
230,haftasonundan
231,dinlenmek
232,onun
233,mühendisle
234,Canan
235,Güzide
236,Aysu
237,şunun
238,hamakta
239,uyumak
240,Ozan
241,okuduğu
242,bölümü
243,bölüme
244,geçmeyi
245,planlıyormuş
246,Zülfikar
247,görüşmek
248,Hilal
249,okulda
250,okumak
251,Züleyha
252,yıldız
253,oyuncu
254,röportaj
255,Banu
256,lale'ninki
257,evi
258,Astrid
259,misafirlerinin
260,eve
261,gelirken
262,hediye
263,getirip
264,getirmeyeceğinden
265,şüpheliydi
266,","
267,büşra'nınki
268,çanta
269,Gülin
270,aysu'nunki
271,Sağduyu
272,sahibi
273,satıcı
274,herkesin
275,ödeyebileceği
276,fiyatlar
277,belirlemesi
278,bilirdi
279,taşınmak
280,Silmek
281,üzücü
282,anıyı
283,Eren
284,Turan
285,bizim
286,dükkan
287,dükkanı
288,işletmek
289,Jülide
290,Kimileri
291,oduncunun
292,tüm
293,odunları
294,keseceğine
295,inanmıştı
296,soruya
297,göz
298,atmak
299,Janset
300,konudan
301,bahsetmek
302,yarış
303,kazanınca
304,kendini
305,kanıtlayacağını
306,sanıyor
307,o
308,Ayla
309,kahve
310,içmek
311,belki
312,bana
313,uğrar
314,Bremen'deki
315,mızıkacı
316,mızıkanın
317,olduğundan
318,bile
319,habersiz
320,Sunay
321,köpeğini
322,yürütmek
323,onu
324,parka
325,götürmek
326,Kübra
327,trene
328,binmek
329,Kurumi
330,önceden
331,anlaştığı
332,dükkandan
333,rengarenk
334,kimono
335,almayı
336,planlıyor
337,evdeki
338,koltuğu
339,değiştirmek
340,Gülay
341,olgun
342,limonu
343,dalından
344,koparmak
345,ülkede
346,yaşamak
347,şarabı
348,Gizem
349,görkemli
350,salonda
351,evlenmek
352,Arkadaşım
353,dergiye
354,yazılarını
355,gönderecekmiş
356,Berrin
357,yangın
358,çıkarsa
359,ne
360,yapabilir
361,paris'tekiler
362,müzeye
363,Jale
364,Ders
365,çalışırken
366,dinlemek
367,şarkı
368,açmak
369,Buse
370,dergi
371,Cansu
372,Remziye
373,yetkin
374,adayla
375,mülakat
376,Halime
377,elbise
378,giymek
379,pastadan
380,Cüneyt
381,Enes
382,hatası
383,olmadığını
384,benimki
385,Şule
386,Muharrem
387,marketten
388,alışveriş
389,ispanya'dakiler
390,plaja
391,Yaprak
392,adama
393,aşık
394,3A
395,sınıfından
396,Emre
397,babasıyla
398,okuyabileceği
399,şiiri
400,ezberlemek
401,istiyordu
402,Tijen
403,restorandaki
404,tatlıyı
405,sevgilisi
406,olmasını
407,Annem
408,leyla'nınki
409,ayşe
410,kızla
411,Ender
412,Güzel
413,bahçede
414,piknik
415,Gaye
416,Şeyda
417,yün
418,halıyı
419,süpürmek
420,bolu'daki
421,gölden
422,balık
423,avlamak
424,Hale
425,Orkun
426,okula
427,Nur
428,hediyelik
429,eşya
430,dükkanından
431,bileklik
432,bankta
433,ayşe'ninkiler
434,kedilere
435,Ayşenur
436,merkezi
437,apartmanda
438,Gürsel
439,makineyle
440,dikiş
441,dikmek
442,Vedat
443,restoranı
444,keşfetmek
445,Mustafa
446,uyumadan
447,önce
448,sürükleyici
449,roman
450,hamile
451,kedi
452,sahiplenmek
453,esmer
454,çocuk
455,bugün
456,yarın
457,kaslı
458,tamirci
459,Hamiyet
460,hala
461,istedi
462,benden
463,köpeğe
464,bakmamı
465,tesisatçıyı
466,şu
467,defter
468,dersten
469,çıkınca
470,Hüseyin
471,şirketten
472,ayrılmak
473,Uzak
474,diyarlardan
475,gelen
476,gözlemcinin
477,kitabında
478,bahsedeceğini
479,ummuştum
480,casus
481,yakalamak
482,Şövalye
483,öykü
484,yazmak
485,isteyen
486,Nil
487,her
488,gün
489,çok
490,çalışıyordu
491,Rüstem
492,işsiz
493,mezunla
494,Müge
495,konukla
496,border0
497,Deniz'in
498,öğreneceği
499,dil
500,var
501,Ayşe'nin
502,istediği
503,otel
504,Gönül'ün
505,düşündüğü
506,belli
507,sıvacı
508,Ali'nin
509,Belirli
510,okul
511,Melahat'in
512,Kerem'in
513,manzara
514,Pelin'in
515,kişi
516,Tecrübeli
517,mesleği
518,Ajanstakilerin
519,öneri
520,Belma'nın
521,yolculuğu
522,mevcut
523,Mehmet'in
524,özel
525,müşteri
526,aynı
527,olan
528,Abidin'in
529,resim
530,Müjdat'ın
531,şirket
532,kimsenin
533,ulaşamayacağı
534,türden
535,Recep'in
536,sorgulamamış
537,olduğu
538,ekmek
539,Seda'nın
540,Süreyya'nın
541,söylediği
542,gezisi
543,Asude'nin
544,bunun
545,Kendine
546,Yağız'ın
547,Cenk'in
548,girenin
549,hırsız
550,mu
551,arkadaşımın
552,Gülsüm'ün
553,görüyormuş
554,Şuradaki
555,istediğim
556,Yiğit'in
557,fotoğraf
558,Bener'in
559,önerdiğim
560,şey
561,Hakan'ın
562,arkadaşı
563,Batu'nun
564,Buğra'nınki
565,Filiz'in
566,Kenan'ın
567,yorgun
568,Aklındaki
569,arabayı
570,para
571,akşam
572,Annemler'in
573,Süheyla'nın
574,tatlı
575,ediliyor
576,Leyla'nın
577,an
578,konuşulan
579,farklı
580,katılımcının
581,masa
582,Uygar'ın
583,Özlem'in
584,öğrenci
585,Eda'nın
586,kahvaltıda
587,yerse
588,acıkacağı
589,Oğuz'un
590,okulu
591,girmek
592,iş
593,Selin'in
594,Şeyma'nın
595,adamın
596,arzuladığı
597,fidan
598,vardı
599,Yaren'in
600,Büşra'nın
601,En
602,Barış'ın
603,mühendis
604,Canan'ın
605,Özel
606,Güzide'nin
607,bundan
608,Aysu'nun
609,hamak
610,Ozan'ın
611,planladığı
612,bölüm
613,Zülfikar'ın
614,Hilal'in
615,Züleyha'nın
616,Banu'nun
617,Lale'ninki
618,Astrid'in
619,getirmeyeceklerinden
620,şüpheli
621,Büşra'nınki
622,Aysu'nunki
623,Gülin'in
624,Bilirdi
625,sağduyu
626,Eren'in
627,silmek
628,anı
629,Turan'ın
630,Jülide'nin
631,Kimiler'nin
632,inanmış
633,oduncu
634,soru
635,Janset'in
636,O
637,kızın
638,sandığı
639,Ayla'nın
640,uğrayacağı
641,çeşit
642,mızıkacı'nın
643,mızıka
644,Sunay'ın
645,park
646,Kübra'nın
647,tren
648,Kurumi'nin
649,koltuk
650,Olgun
651,limon
652,Gülay'ın
653,ülke
654,şarap
655,Gizem'in
656,salon
657,Arkadaşım'ın
658,göndereceği
659,Ne
660,Jale'nin
661,Paris'tekiler
662,müze
663,Buse'nin
664,ders
665,Cansu'nun
666,buradakiler
667,Yetkin
668,aday
669,Remziye'nin
670,Halime'nin
671,Cüneyt'in
672,pasta
673,Enes'in
674,ettiği
675,hata
676,Benimki
677,Şule'nin
678,Muharrem'in
679,alışveris
680,market
681,Gitmek
682,plaj
683,İspanya'dakiler
684,Yaprak'ın
685,Emre'nin
686,şiirdi
687,Tijen'in
688,sevgili
689,Leyla'nınki
690,annemin
691,Ender'in
692,Gaye'nin
693,güzel
694,bahçe
695,Şeyda'nın
696,halı
697,Hale'nin
698,göl
699,Bolu'daki
700,Orkun'un
701,Nur'un
702,banka
703,bank
704,Bakmak
705,kediler
706,Ayşe'ninki
707,Ayşenur'un
708,apartman
709,Gürsel'in
710,makine
711,Vedat'ın
712,restoran
713,Mustafa'nın
714,Esmer
715,çocuğun
716,varmış
717,hala'nın
718,köpek
719,tesisatçı
720,Dersten
721,Hüseyin'in
722,Herkesten
723,uzak
724,Şövalye'nin
725,Nil'in
726,çalıştığı
727,Rüstem'in
728,Müge'nin
729,konuk
730,border1
731,herhangi
732,gideceği
733,yerin
734,sıvacılık
735,Sana
736,olacak
737,şeyin
738,olacağı
739,olsun
740,çalışacağı
741,çıkacağı
742,yolculuk
743,Kim
744,önemli
745,olmayan
746,yaptığına
747,benzeyen
748,dışında
749,bahsi
750,geçilen
751,çalışmayı
752,Büyük
753,Konuşacağı
754,Alacağı
755,görsün
756,tane
757,Kitap
758,insanlardan
759,birine
760,yaptığı
761,alacağı
762,Kardeşim
763,yiyeceği
764,adamdan
765,çözebilen
766,kim
767,olursa
768,bırakmak
769,ve
770,kişilerden
771,etmek
772,öpeceği
773,düşünüyordu
774,Dinlenmek
775,evden
776,şurdakine
777,Okuduğu
778,uzmanla
779,sileceği
780,olanlardan
781,biri
782,Bizim
783,okuyacağı
784,kesecek
785,olanın
786,birisi
787,olacağına
788,atacağı
789,bahsedeceği
790,Yarış
791,Mızıkanın
792,kimonoyu
793,değiştireceği
794,koparacağı
795,yaşayacağı
796,içeceği
797,evleneceği
798,çıksa
799,yapacağı
800,giyeceği
801,Marketten
802,Gideceğim
803,süpüreceği
804,halının
805,Ayşe'ninkiler
806,oturacağı
807,sahipleneceği
808,göreceği
809,ayrılacağı
810,Öykü
